original_name,original_city,original_state,record_status,verification_confidence,verification_source,notes
Hidden Ravine Lakeside Camp,Mentor,OH,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Laurel Valley Municipal Campground,Athens,OH,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Lower Bay Nature Preserve Camp,Lima,OH,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Pine Timber Recreation Area,Cambridge,OH,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Rolling Bog Camp,Mansfield,OH,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Rolling Gap Lakeside Camp,Nelsonville,OH,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Silver Lake Nature Preserve Camp,Jackson,OH,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Spruce Point Wildlife Area Camp,Loudonville,OH,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Upper Rock Wilderness Camp,Delaware,OH,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Upper Run Riverside Camp,Bethel,OH,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Walnut Prairie Camp,Marietta,OH,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
West Cove Municipal Campground,Nashport,OH,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Aspen Brook Recreation Area,Holland,MI,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Aspen River Wilderness Camp,Holland,MI,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Beech Branch Municipal Campground,Wellston,MI,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Elm Cove Wildlife Area Camp,Mt. Pleasant,MI,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Hemlock Ridge Family Campground,Newberry,MI,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Hemlock Run Lakeside Camp,Cheboygan,MI,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Hickory Shore Riverside Camp,Midland,MI,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Hickory Timber Lakeside Camp,Indian River,MI,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Hidden Cliff County Park,Oscoda,MI,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Hidden Gorge Municipal Campground,Manistee,MI,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
